EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
3,2,3,3,4,5,2,2,3,5,2.83,1.00,2.25,2.62,0.54,0.49,1.46,1.61,2.49,1.21,H
3,2,2,3,3,5,2,4,5,5,2.13,1.00,1.48,1.96,2.28,0.73,1.46,0.54,2.04,1.82,H
3,1,4,3,2,4,4,4,4,2,1.42,0.75,3.11,1.31,1.12,2.06,2.95,2.68,2.16,1.24,H
1,2,4,4,2,5,2,2,4,5,1.88,1.33,1.86,0.89,2.25,0.49,1.95,2.14,1.30,1.21,H
2,1,3,4,3,5,1,1,5,5,0.98,2.25,1.12,0.30,1.52,0.73,2.65,3.00,2.04,1.82,H
4,2,4,5,2,5,2,4,5,5,0.98,1.00,1.86,3.72,1.69,0.98,1.46,1.61,2.72,2.42,H
2,4,4,4,2,4,2,2,2,2,5.89,3.60,2.49,1.19,3.37,1.65,2.92,3.21,5.22,3.73,H
4,2,2,4,2,4,4,4,3,2,1.64,1.33,1.97,1.49,2.25,2.06,2.95,2.68,0.62,2.49,H
4,4,2,4,4,4,2,3,4,4,2.30,6.30,0.98,2.08,3.75,2.89,0.97,0.66,3.03,3.80,H
2,1,2,1,2,2,2,2,2,2,7.85,1.50,3.94,3.03,4.50,13.30,3.89,4.29,6.96,4.97,H
5,1,4,4,5,5,3,4,5,5,3.31,0.75,1.86,0.89,3.74,1.22,0.66,1.61,3.40,3.03,H
2,2,2,3,2,4,2,2,1,2,6.87,2.33,3.45,0.65,3.94,0.41,3.41,3.75,1.32,4.35,H
3,4,3,4,4,4,4,3,3,2,2.83,4.50,2.25,1.49,2.68,2.06,2.95,2.65,2.49,0.62,H
2,2,2,3,2,4,2,2,3,4,5.89,1.99,2.95,1.31,3.37,0.82,2.92,3.21,1.24,1.08,H
3,3,2,2,3,2,1,2,5,3,2.83,2.87,1.97,3.60,3.04,6.65,0.88,2.14,0.68,3.13,H
4,2,2,1,5,5,2,4,5,5,0.66,1.00,1.48,1.52,3.00,0.98,1.46,1.07,2.72,2.42,H
3,3,3,3,2,4,3,3,3,3,5.67,5.75,4.50,5.23,0.56,0.41,5.30,5.30,4.97,6.26,H
5,4,4,4,5,5,4,4,5,5,3.31,4.50,3.11,1.49,3.74,1.22,2.95,2.68,3.40,3.03,H
4,3,3,5,3,4,4,3,3,3,0.98,4.31,3.37,0.93,4.56,1.24,1.77,3.98,3.73,4.69,H
2,1,2,5,4,5,2,3,5,5,2.94,0.75,1.48,3.72,0.54,0.98,1.46,0.66,2.72,2.42,H
4,2,4,4,4,4,2,2,4,2,1.97,1.33,3.73,1.78,3.21,2.47,1.95,2.14,2.59,2.49,H
